City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,munduk,-8.2687,115.0795,19.39,93,89,1.63,ID,1683843802
353,alofi,-19.0595,-169.9187,26.1,78,13,8.43,NU,1683826682
354,hobyo,5.3505,48.5268,26.93,86,81,10.25,SO,1683858708
355,vyazemskiy,47.5378,134.7525,17.64,39,19,1.65,RU,1683833331
356,la passe,45.5549,-0.8967,12.21,84,14,2.13,FR,1683866221
357,sigli,5.3848,95.9609,26.81,83,38,1.98,ID,1683847322
358,lorengau,-2.0226,147.2712,29.1,75,94,2.03,PG,1683835587
359,nuku'alofa,-21.1333,-175.2,27.19,83,40,2.06,TO,1683914556
360,sitia,35.2,26.0986,17.21,80,100,4.34,GR,1683861269
361,ceprano,41.5457,13.5147,13.47,90,15,0.04,IT,1683863420
362,freeport,40.6576,-73.5832,25.99,61,0,3.6,US,1683798102
